id,title,plot
1,The Matrix,A computer hacker discovers the reality is a simulation controlled by intelligent machines.
2,Interstellar,A group of astronauts travel through a wormhole to save humanity from extinction.
3,Inception,A skilled thief enters dreams to steal and manipulate secrets from the subconscious mind.
4,Ex Machina,A programmer evaluates the intelligence and consciousness of a humanoid artificial intelligence.
5,Blade Runner,A blade runner hunts rogue bioengineered humans in a futuristic dystopian world.
6,Her,A lonely man forms an emotional relationship with an advanced artificial intelligence system.
7,Avatar,A marine explores an alien planet and becomes torn between duty and empathy.
8,The Dark Knight,Batman faces a chaotic criminal mastermind who threatens Gotham City.
9,Iron Man,A genius billionaire builds a powerful suit of armor to fight enemies.
10,Gravity,Two astronauts struggle to survive after an accident leaves them stranded in space.
11,The Martian,An astronaut is left alone on Mars and must survive using science and ingenuity.
12,Minority Report,Police use psychic technology to prevent crimes before they happen.
13,Arrival,A linguist communicates with extraterrestrials to prevent a global war.
14,Edge of Tomorrow,A soldier relives the same day while fighting an alien invasion.
15,Wall-E,A small robot cleans Earth and discovers the meaning of love and humanity.
16,Jurassic Park,Scientists clone dinosaurs which escape control in a theme park.
17,Star Wars A New Hope,A young hero joins a rebellion to defeat a galactic empire.
18,Tenet,A secret agent manipulates time to prevent a global catastrophe.
19,Ready Player One,Players escape reality by living inside a virtual reality universe.
20,AI Artificial Intelligence,A robotic child programmed to love searches for his place in the world.
